commitId,cleaned_text,clusters
a4831d6ed9351e69db0a81eca37490a9d8dba8b0,dependency updates  bumped     feature adds    from  ,[5]
e84b5034eae349a4ded6946210969fa3b95c08e5,"bug fix improved performance and fixed reembedding issues  embedchain  feature added optional ""citations"" flag  query function  dependency update bumped poetry version from        ",[5]
4a5ed1dd8d7ec5f702da6e1d009b4577444afb46,feature  added citations flag for embedchain  dependency update  minor update  package version from        ,[5]
d62a23edf6ab2c5b977280a65f536ccd8923a0d6,feature adds    supported data source  refactor changes the source url from sitemap xml  the main base url for substack data sources  bug fix improves error handling for http requests and xml parsing and adds handling for nonsitemap urls  dependency update adds dependency   ,[5]
adde398b658197980a99a705a76279d7ac996600,dependency update bumped version from       ,[5]
111749a95dbd65b4edc3d920bf68d9ccab3e695c,feature added documentation about getting source along with the answer ,[3]
d66e647f99994e363cf179c10a25b45aa04de9fa,dependency package version from       ,[5]
7910cee2594fe531b2bee6fb1de334d75f472d17,dependency update llms imported from langchain llms  langchain llms cohere langchain llms replicate and langchain llms huggingface hub,[0]
ae6f8669014e6d4c1f0e01d76f04ea07aaebc5a6,feature updated default chunk size from       webpagechunker for better performance  refactor adjusted chunk sizes and overlap values for specific chunker types and applied custom configuration values using chunkerconfig for consistent configuration across chunkers ,[2]
b7a44ef472dd2cf62148622cb74b9b6399deb98c,feature  updated build system tool from setuptools  poetry dependency  added     ,[5]
0efbc80ac9723afbecc9290204eb11471c7f968c,documentation  updates  faqs and examples  support  configuration updates for directoryloader  refactor  utility function updates and import handling ,[5]
65c8dd445bce6ccda5c9cb8ad96a5adfd1cbb66c,feature add pypy and pypi download badges  readme configuration update chunkerconfig min chunk size constraints  add config ,[1]
54f43215cd972cd4f3f3099d29d4115b00e1aa40,feature  added support for using  directory   data source  embedchain  tests added tests for the new directory data source ,[2]
e719b5bac39fd1ba31a03578d8213ac2908872f0,bug fix  fixed error caused  executing repo clone from twice tests  added tests for discussion search,[2]
b34825148478e8e1a083dd22e08495e2331e4650,documentation  added instructions  using  range  language models including mistralai chatgpt  turbo gpt  and open source models  configuration  loaded llm configuration from opensource yaml file,[5]
9943d1e01570f99169bea4e7ea57d9ab30b8d10e,"installation  removed the ""examples"" section from the page title and heading  documentation  simplified the introduction removing unnecessary phrases  documentation  eliminated the ""collection    "" phrase  the heading  the tables  documentation  removed unnecessary spacing between table rows  chore  added  new example group ""notebooks and replits""  bug fix  removed the deployment name configuration for the openai text embedding model ",[2]
bee4e834b16bf8e3204997771df5030702c3ef51,feature added slack data source support documentation simplified example and added slack data source support  documentation installation automatic data retrieval for slack,[1]
db37b2ac153e8cfa3300a5c128f250f1fb3984e6,bug fix fixed the chunker configuration bug  configuration updated the configuration  include  new  option with  value   ,[2]
33dcfe42b5d311cbe7282f626358cffa5e5b27d1,"feature  updated the chainlit app setup and improved the streamlit docs  dependency update updated the llm model  ""mistralai/mistral x binstructv  ""  app  and config yaml ",[0]
cd2c40a9c45100bf00b72074027c73facedebe38,feature openai function calling support api update updated  the latest version  openai api tests tests for openai functions,[6]
b5f84f27ffc7de6cdda69b9e111c6d2dab57bf7d,chore code improvement for display  modal com  overview section ,[1]
7bcc9e35dd7111778d501f1f58edae07bb27411a," feature added sadhguru  app demonstration   feature added  section ""getting started""  give users  better idea  how  start working with embedchain   feature added  section ""support""  provide users contact information and  quickstart guide   refactor code style refactoring   refactor added support for windows systems   refactor updated documentation links for component overview   support moved rest api port      support added documentation for using the rest api with python   support improvements  rest api documentation   installation docs  steps  setup the software   chore contributions section moved   configuration updated documentation links   configuration updated docs  reflect latest changes  platform   dependency update updated documentation links for pypi twitter and embedchain   dependency update added  new documentation link for sadhguru    dependency update updated documentation links for slack twitter and substack ",[0]
43926fb527869b82b6dfc61afd3c04f31ffb9f6f,"feature emphasized the ""conventional but configurable"" design principle and removed the productionready tag  documentation updated the python api installation command and added  discord community link ",[0]
a1394ce32e74c592a5f575db7413bd5215ea49bd,feature  added test flag for specifying  specific file  run  pytest dependency  updated version     and made various dependency changes including updating beautifulsoup  pypdf etc ,[5]
